# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.8,4.827972383217494,0.001080217006086464,0,3.0,0.0031260176162862746,0.0,0.0,0.0
 0.08944138515575094,2.8119996420657363,4.827972609450867,0.001080217006086464,0.2683241554672528,3.0,0.0031260176162862746,0.0,0.058013890212206314,0.0
 0.12648667125029955,2.8239983169847807,4.827973285731375,0.003229358166455381,0.3794600137508987,3.0000000000000018,0.0031018567994872998,0.0,0.07502027411622775,0.0
 0.15490996936631404,2.8359956478398867,4.827974408429609,0.005361681782406048,0.4647299080989422,3.000000000000001,0.0030780680411469376,0.0,0.08830442249731142,0.0
 0.17886914749742117,2.8479912577138076,4.827975973916153,0.007477383170783676,0.5366074424922636,2.9999999999999987,0.003054651138168202,0.0,0.09946576519213705,0.0
 0.19997461511019038,2.859984769689297,4.827977978561598,0.009576654656625631,0.5999238453305712,3.0,0.0030315980634231334,0.0,0.10918727907702006,0.0
 0.21905221210296222,2.871975806849108,4.827980418736528,0.011659685563594329,0.6571566363088867,2.999999999999997,0.0030089006665556554,0.0,0.1178418875793582,0.0
 0.23659246707045573,2.883963992275994,4.8279832908115345,0.013726662317586978,0.7097774012113672,3.000000000000003,0.0029865560619216753,0.0,0.1256614804108031,0.0
 0.2529149401714017,2.8959489490527077,4.827986591157202,0.015777768451417363,0.7587448205142052,3.0000000000000036,0.0029645559616105336,0.0,0.13280267984340313,0.0
 0.26824156057702647,2.907930300262003,4.8279903161441196,0.017813184714226916,0.8047246817310795,2.9999999999999964,0.0029428919323019518,0.0,0.1393775629898077,0.0
 0.28273388156050316,2.919907668986634,4.8279944621428745,0.01983308909496995,0.8482016446815095,2.999999999999996,0.00292156368458937,0.0,0.14546984699321971,0.0
 0.29651383538913556,2.9318806783093527,4.827999025524055,0.02183765686999474,0.8895415061674067,3.0,0.002900565465867635,0.0,0.15114417589426515,0.0
 0.3096761274882953,2.943848951312913,4.828004002658248,0.02382706066220184,0.9290283824648861,3.0000000000000084,0.002879891450472708,0.0,0.15645180503696027,0.0
 0.32229605115418664,2.955812111080069,4.828009389916041,0.025801470499159186,0.9668881534625601,3.0000000000000044,0.0028595300603885825,0.0,0.16143426080174422,0.0
 0.33443463526921197,2.9677697806935726,4.828015183668022,0.027761053852948095,1.003303905807636,3.0,0.002839483742250563,0.0,0.1661257966424309,0.0
 0.3461421596689745,2.979721583236178,4.828021380284778,0.029705975670569342,1.0384264790069235,2.9999999999999907,0.0028197435995757103,0.0,0.17055510390958276,0.0
 0.3574606294646481,2.9916671417906384,4.828027976136896,0.031636398462667935,1.0723818883939444,3.0,0.002800306359533036,0.0,0.17474652385655842,0.0
 0.3684255620176813,3.0036060794397077,4.8280349675949665,0.0335524823106321,1.1052766860530439,2.999999999999995,0.0027811687438456622,0.0,0.17872094333725355,0.0
 0.37906730645354236,3.015538019266138,4.828042351029575,0.03545438491496316,1.137201919360627,3.0,0.002762321544788324,0.0,0.1824964633264392,0.0
 0.389412037009706,3.0274625843526835,4.828050122811309,0.03734226165552797,1.168236111029118,2.9999999999999947,0.0027437613079163634,0.0,0.18608890569283512,0.0
 0.39948251365389914,3.039379397782097,4.828058279310756,0.039216265634051124,1.1984475409616973,2.999999999999989,0.0027254875700039875,0.0,0.18951220443810188,0.0
 0.4092986733330405,3.0512880826371327,4.828066816898505,0.041076547693961615,1.2278960199991213,3.0000000000000058,0.0027074938721547317,0.0,0.1927787185112251,0.0
 0.41887809578368934,3.0631882620005433,4.828075731945143,0.04292325647807536,1.2566342873510679,2.9999999999999942,0.0026897705570029075,0.0,0.19589947471033117,0.0
 0.4282363749718852,3.0750795589550823,4.828085020821256,0.044756538455235556,1.2847091249156555,3.0,0.002672320086115502,0.0,0.19888437110473145,0.0
 0.43738741852657465,3.086961596583503,4.828094679897434,0.04657653799756197,1.3121622555797239,3.000000000000012,0.002655135740791018,0.0,0.2017423261203225,0.0
 0.44634369152492354,3.098833997968559,4.828104705544263,0.04838339734561751,1.3390310745747704,2.9999999999999876,0.002638216944540152,0.0,0.20448142652250884,0.0
 0.45511641676940545,3.110696386193003,4.828115094132331,0.050177256718099195,1.3653492503082163,3.0000000000000124,0.00262155365923468,0.0,0.20710902496533493,0.0
 0.4637157406856405,3.122548384339589,4.828125842032225,0.05195825430975172,1.3911472220569212,2.9999999999999805,0.0026051451804454135,0.0,0.2096318371324591,0.0
 0.4721508717891424,3.13438961549107,4.828136945614535,0.05372652633943197,1.4164526153674268,2.9999999999999867,0.0025889908603288613,0.0,0.212056015349333,0.0
 0.4804301970682226,3.1462197027301997,4.828148401249846,0.05548220706789472,1.4412905912046674,2.9999999999999933,0.0025730803195895854,0.0,0.21438721887807852,0.0
 0.4885613804404595,3.158038269139731,4.828160205308747,0.05722542885725627,1.4656841413213781,3.0000000000000067,0.0025574160454252715,0.0,0.21663066452975563,0.0
 0.49655144654573535,3.1698449378024174,4.8281723541618256,0.05895632218727885,1.4896543396372057,3.0,0.0025419907255015,0.0,0.21879117688607277,0.0
 0.5044068524593487,3.181639331801012,4.828184844179669,0.06067501569203613,1.5132205573780457,3.0,0.0025268035569008776,0.0,0.22087322841059967,0.0
 0.5121335493874445,3.1934210742182687,4.828197671732863,0.06238163618749491,1.5364006481623333,3.000000000000029,0.002511850395070475,0.0,0.22288097846138408,0.0
